127.0.0.1 - - [30/Mar/2026:11:54:29 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:54:30 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:54:31 +0530] "GET /ORSProject-04/img/customLogo.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:54:48 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:55:00 +0530] "GET /ORSProject-04/LoginCtl HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:55:00 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:55:00 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:55:00 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:55:20 +0530] "POST /ORSProject-04/LoginCtl HTTP/1.1" 200 2538
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:55:20 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:55:20 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:56:00 +0530] "POST /ORSProject-04/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:56:00 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:56:17 +0530] "POST /ORSProject-04/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:56:17 +0530] "GET /ORSProject-04/UserRegistrationCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:56:17 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:56:17 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:56:44 +0530] "GET /ORSProject-04/LoginCtl?operation=Logout HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:56:44 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [30/Mar/2026:11:56:44 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
