127.0.0.1 - - [12/Apr/2026:13:38:52 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [12/Apr/2026:13:38:53 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [12/Apr/2026:13:38:53 +0530] "GET /ORSProject-04/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2026:13:39:00 +0530] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Apr/2026:13:39:00 +0530] "GET /apple-touch-icon.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [12/Apr/2026:13:39:00 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Apr/2026:13:39:00 +0530] "GET /ORSProject-04/img/logo.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [12/Apr/2026:13:39:14 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [12/Apr/2026:13:39:14 +0530] "GET /ORSProject-04/img/customLogo.jpg HTTP/1.1" 200 33775
0:0:0:0:0:0:0:1 - - [12/Apr/2026:13:39:14 +0530] "GET /ORSProject-04/img/logo.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [12/Apr/2026:13:39:21 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [12/Apr/2026:13:39:21 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [12/Apr/2026:13:39:21 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Apr/2026:13:39:21 +0530] "GET /favicon.ico HTTP/1.1" 404 763
